post_id,text,label,tokens,dataset
30702,no rush,0,"['no', 'rush']",GameTox
18607,whatever ... watch the replay,0,"['whatever', '...', 'watch', 'the', 'replay']",GameTox
32901,useless,1,['useless'],GameTox
25964,3 gunmark,0,"['3', 'gunmark']",GameTox
28643,lol,0,['lol'],GameTox
4313,i softened him lol,0,"['i', 'softened', 'him', 'lol']",GameTox
8765,come,0,['come'],GameTox
52567,stupid kids grow up,1,"['stupid', 'kids', 'grow', 'up']",GameTox
24437,fking light diference,0,"['fking', 'light', 'diference']",GameTox
41928,"hori, info ?",0,"['hori', ',', 'info', '?']",GameTox
41604,gooo,0,['gooo'],GameTox
36430,#ERROR!,0,"['#', 'ERROR', '!']",GameTox
34262,shut the fuck up please,1,"['shut', 'the', 'fuck', 'up', 'please']",GameTox
44313,srorry disvconect,0,"['srorry', 'disvconect']",GameTox
1843,speak english,0,"['speak', 'english']",GameTox
37959,now die,0,"['now', 'die']",GameTox
26004,i stack,0,"['i', 'stack']",GameTox
46322,y and fail more noobie,1,"['y', 'and', 'fail', 'more', 'noobie']",GameTox
26237,bot,1,['bot'],GameTox
7420,elc go now,0,"['elc', 'go', 'now']",GameTox
34590,caernvon idiot,1,"['caernvon', 'idiot']",GameTox
39533,I‘ve been spotted in A10!,0,"['I', '‘', 've', 'been', 'spotted', 'in', 'A10', '!']",GameTox
44210,its in the line,0,"['its', 'in', 'the', 'line']",GameTox
13087,ще злийте ))),1,"['ще', 'злийте', ')', ')', ')']",GameTox
12034,retard,1,['retard'],GameTox
22760,&lt;#,0,"['&', 'lt', ';', '#']",GameTox
5838,Im Spotted at E5!,0,"['Im', 'Spotted', 'at', 'E5', '!']",GameTox
31917,"перший бій, сток",0,"['перший', 'бій', ',', 'сток']",GameTox
1229,should i cap,0,"['should', 'i', 'cap']",GameTox
31854,ok,0,['ok'],GameTox
27291,spotted,0,['spotted'],GameTox
6276,team ...,0,"['team', '...']",GameTox
42945,i will take one shot,0,"['i', 'will', 'take', 'one', 'shot']",GameTox
51483,i tried man,0,"['i', 'tried', 'man']",GameTox
49120,u needed to kill cent,0,"['u', 'needed', 'to', 'kill', 'cent']",GameTox
11307,too late,0,"['too', 'late']",GameTox
46709,HIDE IN BUSH,0,"['HIDE', 'IN', 'BUSH']",GameTox
35746,They are all here,0,"['They', 'are', 'all', 'here']",GameTox
3180,Im Spotted at G2!,0,"['Im', 'Spotted', 'at', 'G2', '!']",GameTox
15061,7.7k already,0,"['7.7k', 'already']",GameTox
5584,this game is so fun when u got 2 chiefs shoting gold,0,"['this', 'game', 'is', 'so', 'fun', 'when', 'u', 'got', '2', 'chiefs', 'shoting', 'gold']",GameTox
40395,ФОКУСЯТ,0,['ФОКУСЯТ'],GameTox
54412,елка спасибо тебе ...,0,"['елка', 'спасибо', 'тебе', '...']",GameTox
24891,aiming,0,['aiming'],GameTox
41159,PTA!!!,0,"['PTA', '!', '!', '!']",GameTox
37652,I am spotted at F5!,0,"['I', 'am', 'spotted', 'at', 'F5', '!']",GameTox
2212,o7,0,['o7'],GameTox
5457,уроди!,0,"['уроди', '!']",GameTox
